Instruction,code,Description,,,,
ADD,0,add,,,,
ADDI,1,add immediate,,,,
SUB,2,subtract,,,,
SUBI,3,subtract immediate,,,,
MULT,4,"integer multiplication, result is still 16 bits",,,,
SW,5,Save word to memory,,,,
LW,6,load word from memory,,,,
LT,7,Less than,,,,
NAND,8,bitwise nand,,,,
DIV,9,integer division,,,,
MOD,10,integer modulus,,,,
LTE,11,less than or equal,,,,
BLT,12,break if less than,,,,
BLE,13,break if less than or equal,,,,
BEQ,14,break if equal,,,,
J,15,jump,,,,
,,,,,,
,,,,,,
,,,,,,